customer_id,customer_name,latitude,longitude,total_pallets_unrounded,total_pallets_rounded,total_orders,address,city_borough,pallets_per_order,day_of_week
85649,The Lower Eastside Girls Club,40.723802,-73.976319,0.87,2,2,402 East 8th Street,New York,0.44,Wednesday
84740,St. James Holiness Church,40.666876,-73.917814,0.86,2,2,89 Legion Street,Brooklyn,0.43,Wednesday
85592,Hope For Humanity Inc.,40.866337,-73.921732,0.86,1,1,111- 113 Vermilyea Avenue,New York,0.86,Wednesday
81319,United Bronx Parents,40.812801,-73.906944,0.84,2,2,787 E 149th Street,Bronx,0.42,Wednesday
84081,Bethel AME Church,40.588749,-73.804391,0.82,2,2,215 Beach 77th  Street,Arverne,0.41,Wednesday
81741,Esther Grunblat Center of Central Queens,40.728394,-73.846891,0.78,2,2,108-13 67th Road,Forest Hills,0.39,Wednesday
81402,National Comm. For Furtherance of Jewish Ed.,40.669328,-73.940979,0.75,2,2,824 Eastern Parkway,Brooklyn,0.38,Wednesday
83557,Father's Heart Ministries,40.728014,-73.980741,0.73,2,2,543-545 East 11th Street,New York,0.36,Wednesday
80343,Our Lady of Grace Parish,40.593604,-73.967036,0.72,2,2,2322 East 4th Street,Brooklyn,0.36,Wednesday
85257,Original Pentecostal Apostolic Church,40.641498,-73.939775,0.61,1,1,3901 Avenue D,Brooklyn,0.61,Wednesday
84157,Harlem Dowling West Side Center,40.81014,-73.947461,0.59,2,2,2139 Adam Clayton Powell Jr Boulevard,New York,0.3,Wednesday
85320,Christ Temple of the Apostolic Faith,40.808655,-73.941592,0.55,2,2,13 West 128th Street,New York,0.28,Wednesday
85460,PS 142 M Amalia Castro,40.718383,-73.984452,0.55,2,2,100 Attorney Street,New York,0.28,Wednesday
4031,Fortune Society,40.824301,-73.90945,0.48,1,1,502 E 163rd St,Bronx,0.48,Wednesday
85765,"The Disciples of Galilee, Inc.",40.821616,-73.848646,0.4,2,2,725 Castle Hill Avenue,Bronx,0.2,Wednesday
85582,PS 140 X,40.823289,-73.907948,0.4,1,1,916 Eagle Ave,Bronx,0.4,Wednesday
84189,Community Services Housing Development Corp.,40.668898,-73.920053,0.38,1,1,547 Howard Avenue,Brooklyn,0.38,Wednesday
80136,The Salvation Army Tremont Corps,40.852013,-73.895268,0.29,1,1,2121 Washington Avenue,Bronx,0.29,Wednesday
87369,Project Renewal Holland House,40.757848,-73.991229,0.26,1,1,351 West 42nd Street,New York,0.26,Wednesday
85583,Met Council Mobile Pantry,40.637943,-73.924857,0.26,1,1,5361 Preston Court,Brooklyn,0.26,Wednesday
81139,Park Avenue Synagogue,40.781308,-73.9578,0.23,1,1,50 East 87th St.,New York,0.23,Wednesday
81168,Jewish Comm Council of Canarsie,40.651533,-73.88538,0.21,1,1,1170 Pennsylvania Avenue,Brooklyn,0.21,Wednesday
81595,Project Lead,40.70236,-73.82771,0.21,1,1,85-12 126th Street,Kew Gardens,0.21,Wednesday
85086,Metropolitan Council on Jewish Poverty,40.637943,-73.924857,0.16,1,1,5361 Preston Court,Brooklyn,0.16,Wednesday
83921,St. Margaret's Episcopal Church,40.816517,-73.90032,0.06,1,1,940 East 156th Street,Bronx,0.06,Wednesday
