Grouping,Category,Metric,Metric_Key,Count (Customers),Total Sum,Mean (Average),Median (50%),Std Dev,Min,Q1 (25%),Q3 (75%),IQR,Max
Overall,All Customers,Unrounded Pallets,total_pallets_unrounded,171,253.45,1.48,0.84,1.75,0.06,0.5,1.78,1.28,9.92
Overall,All Customers,Rounded Pallets,total_pallets_rounded,171,334.0,1.95,1.0,1.76,1.0,1.0,2.0,1.0,10.0
Overall,All Customers,Pallets per Order,pallets_per_order,171,253.45,1.48,0.84,1.75,0.06,0.5,1.78,1.28,9.92
Overall,All Customers,Total Orders,total_orders,171,171.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
city_borough,,Unrounded Pallets,total_pallets_unrounded,171,253.45,1.48,0.84,1.75,0.06,0.5,1.78,1.28,9.92
city_borough,,Rounded Pallets,total_pallets_rounded,171,334.0,1.95,1.0,1.76,1.0,1.0,2.0,1.0,10.0
city_borough,,Pallets per Order,pallets_per_order,171,253.45,1.48,0.84,1.75,0.06,0.5,1.78,1.28,9.92
city_borough,,Total Orders,total_orders,171,171.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
